BnR;P;브리흐네위스키,라인산진,얼음;1:+30,2:-12,3:-12,4:+20,6:+50;85,82,63
감자계란샐러드;P;삶은감자,삶은달걀,마요네즈;1:+3,2:+10,3:+5,6:+25;122,82,26
감자샐러드;P;삶은감자,양파,소금;2:+4,3:+5,6:+19;160,51,19
개과자;P;초코칩쿠키,버터비스킷;1:+2,2:+2,6:+8;134,96,0
계란샐러드;P;삶은달걀,마요네즈,소금;1:+3,2:+10,6:+20;177,35,18
과일모듬;P;딸기,사과,나무열매;3:+3,6:+25;102,71,57
과일샐러드;P;과일모듬,마요네즈,설탕;2:+5,3:+3,6:+30;174,32,24
나레스케익세트;P;코코넛파운드케익,가토오쇼콜라,레어치즈케익;3:+5,6:+45;114,68,48
딸기우유;P;우유,딸기,설탕;2:+6,6:+25;150,71,9
라인슬링;P;라인산진,레몬주스,설탕;1:+20,2:-8,3:-8,4:+15,6:+38;43,178,9
레드선라이즈;P;브리흐네위스키,오렌지주스,설탕;1:+20,2:-10,3:-10,4:+15,6:+42;62,140,28
레몬주스;P;레몬,나무열매,설탕;2:+5,5:+5,6:+10;141,65,24
레몬즙;P;레몬,나무열매,물;0:요리재료;196,22,12
레어치즈케익;P;커다란치즈덩어리,버터비스킷,생크림;5:+5,6:+18;160,33,37
루트라칵테일세트;P;라인슬링,스크류드라이버,레드선라이즈;1:+20,3:+5;94,66,70
마끼아또;P;에스프레소,스팀밀크,생크림;1:+15,6:+10;70,80,80
마법콩두부;P;마법콩가루,물,응고제;1:+10,5:+10,6:+20;182,39,9
마요네즈;P;달걀,올리브유,소금;0:요리재료;166,45,19
물에불린콩;P;콩,물,소금;0:요리재료;160,51,19
뭉개진두부;P;콩가루,물,소금;1:+2,5:+2,6:+5;160,52,18
발레스화이어;P;발레스위스키,얼음;1:+38,2:-15,3:-15,4:+25,6:+30;174,56,0
버섯카나페;P;개암버섯,치즈조각,생크림;3:+3,4:+10,6:+18;114,68,48
베이컨과감자개밥;P;감자,베이컨;1:+6,3:-6,6:+10;134,96,0
베지터블카나페;P;당근,삶은감자,레몬;3:-9,4:+12,6:+25,10:7;114,92,24
브리흐네락스;P;얼음,브리흐네위스키,레몬;1:+25,2:-10,3:-10,4:+15,6:+45;132,89,9
빙어무침;P;빙어,야채볶음;1:+5,5:+15,6:+20,9:+15;95,135,0
사과주스;P;사과,나무열매,설탕;1:+5,3:+5,6:+12;167,39,24
새우개밥;P;밥,새우,소금;1:+8,3:-8,6:+14;134,68,28
스크류드라이버;P;브리흐네위스키,오렌지주스,레몬;1:+28,2:-8,3:-8,4:+18,6:+42;42,179,9
아이스마끼아또;P;마끼아또,얼음,생크림;1:+25,6:+20;115,44,71
아이스카페모카;P;카페모카,얼음,생크림;1:+20,2:+30,3:+30;138,47,45
야채모듬;P;샐러리,당근,양파;0:요리재료;80,70,80
에스프레소마끼아또;P;에스프레소,스팀밀크,물;4:+5,5:+5,6:+5;95,89,46
오렌지주스;P;오렌지,나무열매,설탕;2:+5,5:+5,6:+10;167,45,18
초콜릿;P;재료초콜릿,생크림,설탕;1:+4,2:+4,6:+12;97,97,36
초콜릿우유;P;초콜릿,우유,설탕;1:+5,2:+5,6:+15;99,95,36
치즈빵;P;빵,치즈조각,소금;6:+14;175,44,11
카레빵;P;빵,고기조각,카레가루;1:+8,6:+15;160,35,35
카레페이스트;P;카레가루,감자,고기조각;0:요리재료;164,38,28
카멜리아슬링;P;동백열매,물,발레스위스키;1:+10,2:-3,3:-3,4:+10,6:+18;71,24,135
